CÓDIGO RENIPRESS,lat,lon
00029619,-13.5251694,-71.95419899
00010358,-13.5280832,-71.9396585
00025277,-13.5291585,-71.94562856
00010170,-13.52452171,-71.95668012
00029186,-13.5302278,-71.9684523
00002316,-13.53236065,-71.95977696
00029201,-13.52423971,-71.9572205
00028567,-13.53086839,-71.94583927
00029191,-13.5226128,-71.9666317
00029227,-13.53347814,-71.9566372
00031106,-13.4652232,-72.1434877
00002327,-13.43298664,-72.13157971
00002330,-13.45640875,-72.30079513
00002331,-13.47985829,-72.06550477
00002339,-13.48130811,-72.11159704
00002343,-13.38738643,-71.90050452
00002349,-13.4100371,-71.83292968
00006971,-12.64516307,-72.30650165
00002360,-12.62130816,-72.40742504
00002372,-14.148171,-71.4595516
00027359,-14.27122745,-71.23357277
00010063,-14.2657015,-71.22872075
00034929,-14.0294474,-71.45289674
00013185,-14.4543419,-72.0820796
00035860,-14.3115167,-71.6880998
00006984,-14.39995706,-72.19778026
00016960,-14.48173454,-71.79916314
00025371,-14.46975338,-71.92770153
00010061,-14.792336,-71.412789
00034450,-14.67742493,-71.40539531
00029323,-12.85364708,-72.69632734
00023721,-12.868355,-72.6919814
00033273,-12.7756182,-72.5946831
00023565,-11.838821,-72.949418
00002427,-12.64774881,-73.04725009
00002438,-12.43901304,-72.90723062
00002430,-12.72681667,-72.56007167
00002425,-12.76782,-72.575075
00002453,-13.00777333,-72.55527
00002460,-13.00596167,-72.63335833
00002464,-12.70543243,-72.33393886
00002463,-12.67453109,-72.39119824
00002469,-12.61694142,-73.79299422
00008285,-12.676586,-73.69709302
00002475,-12.59924111,-73.75528436
00002490,-13.22406169,-73.02032738
00035871,-12.5177532,-73.8271024
00033988,-12.52235104,-73.82901347
00002487,-13.27748836,-73.11831133
00024957,-13.00175369,-73.50320819
00008283,-12.88268342,-73.54199847
00002502,-13.87441284,-71.94952113
00002508,-13.954115,-71.75895833
00002519,-13.41605111,-71.57576895
00036658,-13.53195,-71.9674626
00026385,-13.686793,-71.619801
00002523,-13.68518741,-71.62380047
00002525,-13.67144051,-71.67448013
00029196,-13.61492679,-71.72369129
00032718,-13.30908426,-72.11552081
00032905,-13.3057641,-72.1156281
00030266,-13.3057641,-72.1156281
00002548,-13.33531959,-72.15800096
